Name,Party,Total Votes Cast,Votes Against Party,Rebellion Rate (%)
Karen Whitsett,D,57,29,50.9
Steve Carra,R,463,174,37.6
Dylan Wegela,D,422,127,30.1
James DeSana,R,421,75,17.8
Julie Brixie,D,434,66,15.2
Veronica Paiz,D,378,57,15.1
Jason Morgan,D,413,58,14.0
Carrie Rheingans,D,416,55,13.2
Denise Mentzer,D,413,54,13.1
Kimberly Edwards,D,339,43,12.7
Emily Dievendorf,D,451,57,12.6
Peter Herzberg,D,419,53,12.6
Betsy Coffia,D,290,35,12.1
Noah Arbit,D,393,47,12.0
Tonya Myers Phillips,D,412,48,11.7
Alabas Farhat,D,366,42,11.5
Phil Skaggs,D,436,50,11.5
Jaime Greene,R,346,37,10.7
Donavan McKinney,D,399,42,10.5
Joey Andrews,D,432,45,10.4
Matthew Maddock,R,426,44,10.3
Reggie Miller,D,436,45,10.3
Angela Witwer,D,572,58,10.1
Will Snyder,D,430,43,10.0
Joseph Fox,R,508,51,10.0
Laurie Pohutsky,D,412,40,9.7
Regina Weiss,D,448,43,9.6
Julie Rogers,D,435,41,9.4
Mai Xiong,D,443,41,9.3
Morgan Foreman,D,389,36,9.3
Samantha Steckloff,D,411,35,8.5
Matt Longjohn,D,427,36,8.4
Donni Steele,R,435,36,8.3
Josh Schriver,R,392,32,8.2
Joseph Tate,D,456,37,8.1
Erin Byrnes,D,446,35,7.8
Tullio Liberati,D,536,41,7.6
Sharon MacDonell,D,415,31,7.5
Kelly Breen,D,456,32,7.0
Helena Scott,D,445,31,7.0
Jimmie Wilson,D,413,28,6.8
Carol Glanville,D,388,25,6.4
Jennifer Conlin,D,395,24,6.1
John Fitzgerald,D,473,29,6.1
Mike McFall,D,427,26,6.1
Stephanie Young,D,433,26,6.0
Kristian Grant,D,381,22,5.8
Kara Hope,D,427,24,5.6
Natalie Price,D,422,23,5.5
Tyrone Carter,D,478,25,5.2
Phil Green,R,420,20,4.8
Brad Paquette,R,451,21,4.7
Ranjeev Puri,D,411,19,4.6
Matt Koleszar,D,497,22,4.4
Amos O'Neal,D,404,16,4.0
Stephen Wooden,D,382,15,3.9
Brenda Carter,D,420,16,3.8
Penelope Tsernoglou,D,422,16,3.8
Tim Kelly,R,435,16,3.7
Jennifer Wortz,R,486,18,3.7
Jason Hoskins,D,454,15,3.3
Nancy DeBoer,R,578,18,3.1
Timothy Beson,R,427,11,2.6
Jasper Martus,D,435,11,2.5
William Bruck,R,449,11,2.4
Ann Bollin,R,435,9,2.1
Sarah Lightner,R,523,11,2.1
Cynthia Neeley,D,352,6,1.7
Bradley Slagh,R,435,7,1.6
Gregory Alexander,R,519,8,1.5
Jamie Thompson,R,546,8,1.5
Rachelle Smit,R,439,6,1.4
Luke Meerman,R,461,6,1.3
Tom Kuhn,R,382,5,1.3
Greg VanWoerkom,R,431,5,1.2
Ron Robinson,R,437,4,0.9
Mike Hoadley,R,516,4,0.8
Curtis VanderWall,R,560,4,0.7
Matthew Bierlein,R,461,3,0.7
Jason Woolford,R,441,3,0.7
Gina Johnsen,R,513,3,0.6
Pauline Wendzel,R,544,2,0.4
Jerry Neyer,R,558,2,0.4
Joseph Pavlov,R,514,2,0.4
Bryan Posthumus,R,506,1,0.2
John Roth,R,432,1,0.2
Pat Outman,R,516,1,0.2
Mike Harris,R,540,1,0.2
David Prestin,R,547,1,0.2
Jay DeBoyer,R,478,1,0.2
Tom Kunse,R,523,1,0.2
Angela Rigas,R,471,1,0.2
Alicia St. Germaine,R,542,1,0.2
Steve Frisbie,R,543,1,0.2
Rylee Linting,R,531,1,0.2
Nancy Jenkins-Arno,R,435,0,0.0
Gregory Markkanen,R,432,0,0.0
Matthew Hall,R,421,0,0.0
Mike Mueller,R,432,0,0.0
Douglas Wozniak,R,539,0,0.0
Ken Borton,R,437,0,0.0
David Martin,R,544,0,0.0
Mark Tisdel,R,570,0,0.0
Bill Schuette,R,585,0,0.0
Joseph Aragona,R,592,0,0.0
Brian BeGole,R,529,0,0.0
Cam Cavitt,R,435,0,0.0
Kathy Schmaltz,R,488,0,0.0
Karl Bohnak,R,544,0,0.0
Parker Fairbairn,R,517,0,0.0
